[kbplacer_plugin_action.py:79]: Plugin executed with KiCad version: 7.0.7
[board_modifier.py:97]: Getting R_LED19 footprint position: (200822573, 123428747)
[board_modifier.py:97]: Getting R_SW20 footprint position: (220137344, 119782912)
[board_modifier.py:64]: Searching for R_D20 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D20 footprint position: (214240230, 118568811)
[board_modifier.py:97]: Getting R_D20 footprint position: (214240230, 118568811)
[board_modifier.py:64]: Searching for R_LED20 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED20 footprint position: (217320357, 113903747)
[board_modifier.py:97]: Getting R_LED20 footprint position: (217320357, 113903747)
[board_modifier.py:97]: Getting R_SW21 footprint position: (234550000, 96437500)
[board_modifier.py:64]: Searching for R_D21 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D21 footprint position: (230050000, 92437500)
[board_modifier.py:64]: Searching for R_LED21 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED21 footprint position: (235050000, 89937500)
[board_modifier.py:97]: Getting R_SW22 footprint position: (253600000, 94151500)
[board_modifier.py:64]: Searching for R_D22 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D22 footprint position: (249100000, 90151500)
[board_modifier.py:64]: Searching for R_LED22 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED22 footprint position: (254100000, 87651500)
[board_modifier.py:97]: Getting R_SW23 footprint position: (272650000, 91675000)
[board_modifier.py:64]: Searching for R_D23 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D23 footprint position: (268150000, 87675000)
[board_modifier.py:64]: Searching for R_LED23 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED23 footprint position: (273150000, 85175000)
[board_modifier.py:97]: Getting R_SW24 footprint position: (291700000, 94151500)
[board_modifier.py:64]: Searching for R_D24 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D24 footprint position: (287200000, 90151500)
[board_modifier.py:64]: Searching for R_LED24 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED24 footprint position: (292200000, 87651500)
[board_modifier.py:97]: Getting R_SW25 footprint position: (310750000, 98914000)
[board_modifier.py:64]: Searching for R_D25 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D25 footprint position: (306250000, 94914000)
[board_modifier.py:64]: Searching for R_LED25 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED25 footprint position: (311250000, 92414000)
[board_modifier.py:97]: Getting R_SW26 footprint position: (329800000, 103676500)
[board_modifier.py:64]: Searching for R_D26 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D26 footprint position: (325300000, 99676500)
[board_modifier.py:64]: Searching for R_LED26 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED26 footprint position: (330300000, 97176500)
[board_modifier.py:64]: Searching for R_D1 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW1 with R_D1
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (230270000, 41787500) with pad (229100000, 35287500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW1:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW1:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b99576c3-cc79-4939-bab4-71971ebe4956 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW1:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW1:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b99576c3-cc79-4939-bab4-71971ebe4956 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(230270000, 41787500), (229100000, 40617500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D1:2
[board_modifier.py:266]: Track collide with pad R_SW1:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW1:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW1:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 3fda5f68-36ee-44b4-bea9-bfc3499e12f4 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b99576c3-cc79-4939-bab4-71971ebe4956 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D2 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW2 with R_D2
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (249320000, 39501500) with pad (248150000, 33001500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW2:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW2:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f10b96cd-0cad-4678-8f0c-78c30e2fcc7d track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW2:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW2:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f10b96cd-0cad-4678-8f0c-78c30e2fcc7d track
[board_modifier.py:338]: Adding track segment (B.Cu): [(249320000, 39501500), (248150000, 38331500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D2:2
[board_modifier.py:266]: Track collide with pad R_SW2:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW2:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW2:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of c06d498c-6d46-4be8-a137-d454dc172d8b track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f10b96cd-0cad-4678-8f0c-78c30e2fcc7d track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D3 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW3 with R_D3
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (268370000, 37025000) with pad (267200000, 30525000) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW3:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW3:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b10220c2-2005-40b5-96a2-69bc649a8bbf track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW3:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW3:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b10220c2-2005-40b5-96a2-69bc649a8bbf track
[board_modifier.py:338]: Adding track segment (B.Cu): [(268370000, 37025000), (267200000, 35855000)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D3:2
[board_modifier.py:266]: Track collide with pad R_SW3:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW3:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW3:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 91d4a106-c170-4a46-9c26-057718b81d2b track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b10220c2-2005-40b5-96a2-69bc649a8bbf track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D4 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW4 with R_D4
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (287420000, 39501500) with pad (286250000, 33001500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW4:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW4:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of be2e3251-9bfb-4758-a62b-ede15c36a4f4 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW4:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW4:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of be2e3251-9bfb-4758-a62b-ede15c36a4f4 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(287420000, 39501500), (286250000, 38331500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D4:2
[board_modifier.py:266]: Track collide with pad R_SW4:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW4:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW4:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b3503669-ae02-420c-9006-3ecf6d856a45 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of be2e3251-9bfb-4758-a62b-ede15c36a4f4 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D5 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW5 with R_D5
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (306470000, 44264000) with pad (305300000, 37764000) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW5:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW5:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 17f2ae4a-0270-4e3a-943a-2d7dae09f682 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW5:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW5:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 17f2ae4a-0270-4e3a-943a-2d7dae09f682 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(306470000, 44264000), (305300000, 43094000)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D5:2
[board_modifier.py:266]: Track collide with pad R_SW5:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW5:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW5:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b983354c-ff0b-47a8-ae1f-3a8fdd50f50a track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 17f2ae4a-0270-4e3a-943a-2d7dae09f682 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D6 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW6 with R_D6
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (325520000, 49026500) with pad (324350000, 42526500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW6:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW6:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 7bf64852-6b4e-4b8f-9698-5027ddaae39c track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW6:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW6:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 7bf64852-6b4e-4b8f-9698-5027ddaae39c track
[board_modifier.py:338]: Adding track segment (B.Cu): [(325520000, 49026500), (324350000, 47856500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D6:2
[board_modifier.py:266]: Track collide with pad R_SW6:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW6:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW6:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f93fa553-8c76-4fae-a903-5fa06e4af539 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 7bf64852-6b4e-4b8f-9698-5027ddaae39c track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D7 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW7 with R_D7
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (230270000, 60837500) with pad (229100000, 54337500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW7:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW7:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 764272e0-2d2c-41ba-a7c7-6549ce645951 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW7:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW7:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 764272e0-2d2c-41ba-a7c7-6549ce645951 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(230270000, 60837500), (229100000, 59667500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D7:2
[board_modifier.py:266]: Track collide with pad R_SW7:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW7:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW7:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b5202d09-1b12-422d-ae4c-79a58cb60d89 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 764272e0-2d2c-41ba-a7c7-6549ce645951 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D8 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW8 with R_D8
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (249320000, 58551499) with pad (248150000, 52051499) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW8:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW8:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 1d7e159b-7cfb-4cc5-8564-0055b84165ef track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW8:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW8:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 1d7e159b-7cfb-4cc5-8564-0055b84165ef track
[board_modifier.py:338]: Adding track segment (B.Cu): [(249320000, 58551499), (248150000, 57381499)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D8:2
[board_modifier.py:266]: Track collide with pad R_SW8:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW8:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW8:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of d5109e7d-88bd-4906-9ec4-74b5851a27ad track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 1d7e159b-7cfb-4cc5-8564-0055b84165ef track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D9 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW9 with R_D9
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (268370000, 56075000) with pad (267200000, 49575000) at 0 degree angle
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW9:2
[board_modifier.py:266]: Track collide with pad R_SW9:
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 293ac732-82ea-4876-abdb-22866741dece track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW9:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW9:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 293ac732-82ea-4876-abdb-22866741dece track
